価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
790万円,神奈川県相模原市緑区若柳, 115.77㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区若柳,, 一方 ( 北西 4.5m 私道 ), 非線引区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,賃貸中, 相談, 0112795-0061109, 仲介,https://www.homes.co.jp/kodate/b-1127950061109/,株式会社住まいの広場TOWNS,神奈川県相模原市中央区相模原４丁目6-16,2,画像あり
580万円,神奈川県相模原市緑区青野原, 138.97㎡,http://local.google.co.jp/maps?q=神奈川県相模原市緑区青野原,駐車場 空有 (2台) 無料 物件からの距離0m, 角地 ( 南 4.5m ) ( 東 4.5m ), 非線引区域,, 無指定,, 所有権, 不要,空家, 即時, 3904183-0001534, 仲介,https://www.homes.co.jp/kodate/b-39041830001534/,有限会社邦友ハウジング,神奈川県相模原市南区松が枝町4-2　松が枝ハイム101,2,画像あり
750万円,神奈川県中郡二宮町二宮, 387.78㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県中郡二宮町二宮,, 一方 ( 東 4m ), 市街化調整区域備考間取りはファミリーにおすすめの4LDK。全居室2面採光で、明るく風通し良好です。お庭ではガーデニングもお楽しみいただけます。雨に濡れない地下車庫付です。            他地下車庫部分約16.5m2有　区域内市街化調整区域　再建築時擁壁再造成深基礎鋼管杭等の防護措置が必要となる場合があり、その際は費用が掛かります, 宅地, 無指定, 高台, 所有権, 不要,空家, 相談, 0146919-0000130, 仲介,https://www.homes.co.jp/kodate/b-1469190000130/,住宅情報館株式会社　小田原店,神奈川県小田原市前川183-13,2,画像あり
550万円,神奈川県相模原市緑区若柳, 95.64㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区若柳,駐車場 空無, 一方 ( 北 4m 公道 ), 非線引区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 相談, 0112795-0059660, 仲介,https://www.homes.co.jp/kodate/b-1127950059660/,株式会社住まいの広場TOWNS,神奈川県相模原市中央区相模原４丁目6-16,2,画像あり
980万円,神奈川県横須賀市公郷町6丁目, 85.07㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県横須賀市公郷町6丁目,駐車場 無, 接道なし, 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,賃貸中, 相談, 0129387-0000792, 仲介,https://www.homes.co.jp/kodate/b-1293870000792/,株式会社ドリームプランニング　横須賀衣笠店,神奈川県横須賀市衣笠栄町２丁目15-3,2,画像あり
930万円,神奈川県相模原市緑区中野, 163.23㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区中野,"駐車場 近隣 3,000円 物件からの距離5m", 一方 ( 南 3.5m 公道 間口4m ), 非線引区域, 宅地, 第一種低層住居専用地域, 高台, 所有権, 不要,空家, 相談, 0146421-0000010, 専任媒介,https://www.homes.co.jp/kodate/b-1464210000010/,株式会社白猫不動産,神奈川県相模原市緑区中野1152-5,2,画像あり
530万円,神奈川県横須賀市三春町6丁目58-1, 84.76㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県横須賀市三春町6丁目58-1,駐車場 空無, 一方 ( 北 2m 私道 ), 市街化区域, 宅地, 第一種中高層住居専用地域, 高台, 所有権, 不要,賃貸中, 相談, 0121494-0002539, 一般媒介,https://www.homes.co.jp/kodate/b-1214940002539/,ウスイホーム株式会社　武山店,神奈川県横須賀市林１丁目２３－１３,2,画像あり
980万円,神奈川県厚木市三田3丁目, 112.43㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県厚木市三田3丁目,,, 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 相談, 0147308-0000082, 仲介,https://www.homes.co.jp/kodate/b-1473080000082/,住宅情報館株式会社　厚木店,神奈川県厚木市水引１丁目6-9,2,画像あり
680万円,神奈川県秦野市渋沢, 130.92㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県秦野市渋沢,, 一方 ( 南東 7m 公道 間口9m ), 市街化区域, 宅地, 第一種低層住居専用地域,, 所有権, 不要,空家, 相談, 0146920-0000103, 仲介,https://www.homes.co.jp/kodate/b-1469200000103/,住宅情報館株式会社　秦野店,神奈川県秦野市平沢521-1,2,画像あり
980万円,神奈川県相模原市緑区青野原, 400㎡,http://local.google.co.jp/maps?q=神奈川県相模原市緑区青野原,駐車場 空有 (5台) 無料, 角地,, 宅地,, 平坦, 所有権, 不要,空家, 相談, 3904183-0001489, 仲介,https://www.homes.co.jp/kodate/b-39041830001489/,有限会社邦友ハウジング,神奈川県相模原市南区松が枝町4-2　松が枝ハイム101,2,画像あり
580万円,神奈川県相模原市緑区寸沢嵐463-4, 165.7㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区寸沢嵐463-4,, 角地 ( 南 4m 公道 間口2.2m ), 非線引区域, 宅地, 第一種低層住居専用地域, 高台, 所有権, 不要,空家, 即時, 0148272-0000001, 専任媒介,https://www.homes.co.jp/kodate/b-1482720000001/,株式会社ジェイアンドエム,神奈川県相模原市南区相南１丁目2番45号,2,画像あり
680万円,神奈川県相模原市緑区小渕, 210.01㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区小渕,駐車場 空有 無料, 一方 ( 西 4m 公道 ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 0146421-0000020, 仲介,https://www.homes.co.jp/kodate/b-1464210000020/,株式会社白猫不動産,神奈川県相模原市緑区中野1152-5,2,画像あり
690万円,神奈川県秦野市千村3丁目, 182.72㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県秦野市千村3丁目,, 一方 ( 北 10m 公道 間口10.3m ), 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,空家, 相談, 0146920-0000206, 専任媒介,https://www.homes.co.jp/kodate/b-1469200000206/,住宅情報館株式会社　秦野店,神奈川県秦野市平沢521-1,2,画像あり
980万円,神奈川県相模原市緑区青野原, 400㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区青野原,, 角地 ( 南 2.7m 公道 ) ( 西 2.7m 公道 ), 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0112795-0059634, 仲介,https://www.homes.co.jp/kodate/b-1127950059634/,株式会社住まいの広場TOWNS,神奈川県相模原市中央区相模原４丁目6-16,2,画像あり
980万円,神奈川県厚木市飯山, 118㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県厚木市飯山,駐車場 空有 無料, 一方 ( 北 4m 公道 ), 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,居住中, 相談, 0112795-0060347, 仲介,https://www.homes.co.jp/kodate/b-1127950060347/,株式会社住まいの広場TOWNS,神奈川県相模原市中央区相模原４丁目6-16,2,画像あり
700万円,神奈川県足柄下郡湯河原町宮上, 118.49㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県足柄下郡湯河原町宮上,,, 非線引区域, 宅地, 商業地域,, 所有権, 不要,-, 即時, 0125402-0000955, 一般媒介,https://www.homes.co.jp/kodate/b-1254020000955/,株式会社リアルター,神奈川県足柄下郡湯河原町門川497,2,画像あり
900万円,神奈川県南足柄市雨坪, 100.96㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県南足柄市雨坪,, 一方 ( 南東 4.7m 私道 位置指定 間口2.3m ), 市街化区域, 宅地, 第一種中高層住居専用地域, 平坦, 所有権, 不要,空家, 即時, 0146920-0000144, 仲介,https://www.homes.co.jp/kodate/b-1469200000144/,住宅情報館株式会社　秦野店,神奈川県秦野市平沢521-1,2,画像あり
580万円,神奈川県相模原市緑区中野1956-24, 114.92㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県相模原市緑区中野1956-24,,, 市街化区域, 宅地, 第一種中高層住居専用地域,, 所有権, 不要,賃貸中, 相談, 0146592-0000009, 売主,https://www.homes.co.jp/kodate/b-1465920000009/,株式会社Bec,東京都八王子市元横山町２丁目15-4,2,画像あり
880万円,神奈川県綾瀬市上土棚北3丁目5-12, 72.27㎡（公簿）,http://local.google.co.jp/maps?q=神奈川県綾瀬市上土棚北3丁目5-12,駐車場 無, 一方 ( 東 4m 公道 間口7.7m ), 市街化区域, 宅地, 準工業地域, 平坦, 所有権, 不要,賃貸中, 相談 賃貸中に付き引き渡し期日相談, 0135731-0000139, 専任媒介,https://www.homes.co.jp/kodate/b-1357310000139/,株式会社アサノ,神奈川県伊勢原市桜台１丁目１５‐１８,2,画像あり
