価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
250万円",広島県三原市糸崎7丁目,55.53平方メートル (公簿) / 16.79坪,http://local.google.co.jp/maps?q=広島県三原市糸崎7丁目,,一方 ( 南 4m 公道 間口5m ),市街化区域,宅地,近隣商業地域,平坦,所有権,不要,"古家あり 

",即時,0145524-0000146,仲介,https://www.homes.co.jp/tochi/b-1455240000146/,株式会社HOME’S　住まいの窓口　三原宮沖店,広島県三原市宮沖１丁目5-8,1,画像あり
"
460万円",広島県福山市神辺町大字上竹田416-46,188.59平方メートル (公簿) / 57.04坪,http://local.google.co.jp/maps?q=広島県福山市神辺町大字上竹田416-46,,一方 ( 北東 4m 公道 間口11m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0140432-0000265,専任媒介★,https://www.homes.co.jp/tochi/b-1404320000265/,タカセ不動産株式会社　福山店,広島県福山市南蔵王町２丁目9番31号,1,画像あり
"
500万円",広島県福山市本庄町中1丁目21-16,82.64平方メートル (公簿) / 24.99坪 共有持分1/1,http://local.google.co.jp/maps?q=広島県福山市本庄町中1丁目21-16,,三方 ( 北 2m 公道 間口6m ) ( 西 1m 間口14m ) ( 南 1m 間口6m ),市街化区域,宅地,第二種住居地域,平坦,所有権,不要,"古家あり更地引渡可 

",即時,0140432-0000103,専任媒介★,https://www.homes.co.jp/tochi/b-1404320000103/,タカセ不動産株式会社　福山店,広島県福山市南蔵王町２丁目9番31号,1,画像あり
"
550万円",広島県三原市本郷町南方,386.82平方メートル (公簿) / 117.01坪,http://local.google.co.jp/maps?q=広島県三原市本郷町南方,,一方,都市計画区域外,宅地,-,平坦,所有権,不要,"古家あり 

",即時,3213556-0000123,一般媒介★,https://www.homes.co.jp/tochi/b-32135560000123/,コンフォート不動産株式会社,広島県三原市港町１丁目2-18　2F,1,画像あり
"
699.27万円",広島県福山市千田町千田3100-1,"1,050.75平方メートル (公簿) / 317.85坪",http://local.google.co.jp/maps?q=広島県福山市千田町千田3100-1,,一方 ( 南 3.6m 公道 間口22m ),市街化調整区域,雑種地,-,その他,所有権,不要,"古家あり 

",相談,3212215-0000089,一般媒介★,https://www.homes.co.jp/tochi/b-32122150000089/,有限会社タナベ不動産,広島県福山市千田町３丁目56-16,1,画像あり
"
240万円",広島県広島市安佐南区相田5丁目,186.01平方メートル (公簿) / 56.26坪,http://local.google.co.jp/maps?q=広島県広島市安佐南区相田5丁目,,( 北西 ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",相談,0147131-0000092,仲介,https://www.homes.co.jp/tochi/b-1471310000092/,ひまわり不動産　亀井建設株式会社,広島県広島市安佐南区上安２丁目2-37,1,画像あり
"
250万円",広島県福山市鞆町後地1024付近,360.89平方メートル (公簿) / 109.16坪,http://local.google.co.jp/maps?q=広島県福山市鞆町後地1024付近,,一方 ( 東 1.7m 間口27m ),市街化区域,宅地,第一種住居地域,傾斜地,所有権,不要,"古家あり 

","相談
（即時引渡可能です。）",0146109-0000147,一般媒介★,https://www.homes.co.jp/tochi/b-1461090000147/,中国バス不動産株式会社　ピタットハウス福山北店　売買課,広島県福山市御幸町大字上岩成856-1,1,画像なし
"
780万円",広島県三原市宮沖3丁目,157.11平方メートル (公簿) / 47.52坪,http://local.google.co.jp/maps?q=広島県三原市宮沖3丁目,,一方 ( 南 6.3m 公道 間口8.8m ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",即時,3213556-0000073,一般媒介★,https://www.homes.co.jp/tochi/b-32135560000073/,コンフォート不動産株式会社,広島県三原市港町１丁目2-18　2F,1,画像あり
"
180万円",広島県呉市川尻町東3丁目14-24,58.31平方メートル (公簿) / 17.63坪,http://local.google.co.jp/maps?q=広島県呉市川尻町東3丁目14-24,,-,市街化区域,宅地,近隣商業地域,平坦,所有権,不要,"古家あり 

",相談,3212180-0000318,専任媒介★,https://www.homes.co.jp/tochi/b-32121800000318/,安芸建設工業株式会社,広島県呉市広横路１丁目8-28,1,画像あり
"
810万円",広島県呉市西片山町54,206.01平方メートル (公簿) / 62.31坪,http://local.google.co.jp/maps?q=広島県呉市西片山町54,,一方,市街化区域,宅地,第一種住居地域,低地,所有権,不要,"古家あり 

",相談,3212985-0000174,一般媒介★,https://www.homes.co.jp/tochi/b-32129850000174/,有限会社大昌不動産,広島県呉市中央３丁目11-22,1,画像あり
