価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
500万円",佐賀県佐賀市東与賀町大字下古賀253番1,218.33平方メートル (公簿) / 66.04坪,http://local.google.co.jp/maps?q=佐賀県佐賀市東与賀町大字下古賀253番1,,一方 ( 西 3m 公道 間口3m ),市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0143412-0000093,一般媒介★,https://www.homes.co.jp/tochi/b-1434120000093/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
560万円",佐賀県佐賀市北川副町大字江上,370.68平方メートル (公簿) / 112.13坪,http://local.google.co.jp/maps?q=佐賀県佐賀市北川副町大字江上,,一方 ( 南 3m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129340-0001680,仲介,https://www.homes.co.jp/tochi/b-1293400001680/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
300万円",佐賀県武雄市山内町大字三間坂,113.13平方メートル (公簿) / 34.22坪,http://local.google.co.jp/maps?q=佐賀県武雄市山内町大字三間坂,,一方 ( 東 4m 公道 間口10m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",即時,0144934-0000018,売主★,https://www.homes.co.jp/tochi/b-1449340000018/,エイチ・マリー株式会社,福岡県福岡市東区原田２丁目27-6,1,画像あり
"
1,000万円",佐賀県佐賀市大和町大字久池井,200.11平方メートル (公簿) / 60.53坪,http://local.google.co.jp/maps?q=佐賀県佐賀市大和町大字久池井,,一方 ( 西 6m 公道 間口13.8m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0129340-0001565,仲介,https://www.homes.co.jp/tochi/b-1293400001565/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
450万円",佐賀県佐賀市大和町大字久池井1528番142,136.12平方メートル (公簿) / 41.17坪,http://local.google.co.jp/maps?q=佐賀県佐賀市大和町大字久池井1528番142,,( 西 4m 公道 間口11m ),市街化区域,宅地,第一種低層住居専用地域,-,所有権,不要,"古家あり 

",即時,0143412-0000245,専任媒介★,https://www.homes.co.jp/tochi/b-1434120000245/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
1,000万円",佐賀県佐賀市川原町,198.99平方メートル / 60.19坪,http://local.google.co.jp/maps?q=佐賀県佐賀市川原町,,一方 ( 南 3.5m 公道 間口9.1m ),市街化区域,宅地,近隣商業地域,平坦,所有権,不要,"古家あり 

",相談,3702145-0001606,専任媒介,https://www.homes.co.jp/tochi/b-37021450001606/,イエステーション佐賀店　株式会社ソロン,佐賀県佐賀市神野東２丁目2番1号1F,1,画像あり
"
650万円",佐賀県佐賀市北川副町大字光法,425.58平方メートル (公簿) / 128.73坪,http://local.google.co.jp/maps?q=佐賀県佐賀市北川副町大字光法,,二方 ( 西 公道 ) ( 南 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129340-0001793,仲介,https://www.homes.co.jp/tochi/b-1293400001793/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
350万円",佐賀県佐賀市朝日町,212.43平方メートル / 64.26坪,http://local.google.co.jp/maps?q=佐賀県佐賀市朝日町,,一方 ( 南 4.3m 公道 間口2.5m ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,3702145-0001602,一般媒介,https://www.homes.co.jp/tochi/b-37021450001602/,イエステーション佐賀店　株式会社ソロン,佐賀県佐賀市神野東２丁目2番1号1F,1,画像あり
"
550万円",佐賀県武雄市橘町大字永島5861番1他、3筆,"1,130.69平方メートル (公簿) / 342.03坪",http://local.google.co.jp/maps?q=佐賀県武雄市橘町大字永島5861番1他、3筆,,二方 ( 北 3m 公道 間口22m ) ( 東 3m 公道 間口7m ),非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0143412-0000358,専任媒介★,https://www.homes.co.jp/tochi/b-1434120000358/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
650万円",佐賀県佐賀市神園2丁目,175.39平方メートル / 53.05坪,http://local.google.co.jp/maps?q=佐賀県佐賀市神園2丁目,,一方,市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,3702145-0001592,専任媒介,https://www.homes.co.jp/tochi/b-37021450001592/,イエステーション佐賀店　株式会社ソロン,佐賀県佐賀市神野東２丁目2番1号1F,1,画像あり
"
747.46万円",佐賀県武雄市北方町大字志久2778番36,706平方メートル (公簿) / 213.56坪,http://local.google.co.jp/maps?q=佐賀県武雄市北方町大字志久2778番36,,一方,非線引区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0143412-0000348,一般媒介★,https://www.homes.co.jp/tochi/b-1434120000348/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
"
690万円",佐賀県佐賀市西与賀町大字相応津,591.01平方メートル / 178.78坪,http://local.google.co.jp/maps?q=佐賀県佐賀市西与賀町大字相応津,,一方 ( 東 4.8m 公道 ),市街化調整区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",相談,3702145-0001156,専任媒介,https://www.homes.co.jp/tochi/b-37021450001156/,イエステーション佐賀店　株式会社ソロン,佐賀県佐賀市神野東２丁目2番1号1F,1,画像あり
"
400万円",佐賀県佐賀市東与賀町大字下古賀,326.83平方メートル (公簿) / 98.86坪,http://local.google.co.jp/maps?q=佐賀県佐賀市東与賀町大字下古賀,,一方 ( 南 公道 間口22m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",相談,0129340-0001329,仲介,https://www.homes.co.jp/tochi/b-1293400001329/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
550万円",佐賀県佐賀市水ヶ江6丁目,178.51平方メートル (公簿) / 53.99坪,http://local.google.co.jp/maps?q=佐賀県佐賀市水ヶ江6丁目,,一方 ( 北 3m 公道 ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129340-0001781,仲介,https://www.homes.co.jp/tochi/b-1293400001781/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
300万円",佐賀県佐賀市川副町大字犬井道,257.85平方メートル (公簿) / 77.99坪,http://local.google.co.jp/maps?q=佐賀県佐賀市川副町大字犬井道,,一方 ( 西 公道 間口16m ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり 

",即時,0129340-0000889,仲介,https://www.homes.co.jp/tochi/b-1293400000889/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
400万円",佐賀県佐賀市八戸2丁目,138.05平方メートル (公簿) / 41.76坪,http://local.google.co.jp/maps?q=佐賀県佐賀市八戸2丁目,,一方 ( 南 4m 私道 間口11m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0129340-0001648,仲介,https://www.homes.co.jp/tochi/b-1293400001648/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
980万円",佐賀県佐賀市水ヶ江6丁目,219.14平方メートル (公簿) / 66.28坪,http://local.google.co.jp/maps?q=佐賀県佐賀市水ヶ江6丁目,,二方 ( 東 4m 公道 間口12m ) ( 南 6m 公道 間口12m ),市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり更地引渡可 

",相談,0129340-0001344,仲介,https://www.homes.co.jp/tochi/b-1293400001344/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
900万円",佐賀県佐賀市本庄町大字末次,231平方メートル (公簿) / 69.87坪,http://local.google.co.jp/maps?q=佐賀県佐賀市本庄町大字末次,,二方 ( 西 公道 ) ( 北 公道 ),市街化調整区域,宅地,無指定,-,所有権,不要,"古家あり更地引渡可 

",相談,0129340-0001786,仲介,https://www.homes.co.jp/tochi/b-1293400001786/,ハウスドゥ！佐賀末広店　有限会社ツカサ,佐賀県佐賀市末広２丁目13-44,1,画像あり
"
300万円",佐賀県佐賀市川副町大字犬井道字五本谷695番2,257.85平方メートル (公簿) / 77.99坪,http://local.google.co.jp/maps?q=佐賀県佐賀市川副町大字犬井道字五本谷695番2,,一方 ( 西 2m 公道 間口16m ),非線引区域,宅地,無指定,平坦,所有権,不要,"古家あり 

",即時,0143412-0000088,一般媒介★,https://www.homes.co.jp/tochi/b-1434120000088/,株式会社マイホーム情報不動産　佐賀本店売買仲介課,佐賀県佐賀市駅南本町1番20号,1,画像あり
