価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
"
580万円",兵庫県姫路市夢前町前之庄,"1,482.22平方メートル (公簿) / 448.37坪",http://local.google.co.jp/maps?q=兵庫県姫路市夢前町前之庄,,( 南 5m 公道 間口32m ) ( 西 4m 間口47m ),都市計画区域外,宅地,-,平坦,所有権,不要,"古家あり 

",相談,0110073-0011327,仲介,https://www.homes.co.jp/tochi/b-1100730011327/,株式会社福屋不動産販売 姫路西店,兵庫県姫路市勝原区宮田１１６－１,1,画像あり
"
750万円",兵庫県姫路市新在家1丁目,99.18平方メートル (公簿) / 30坪,http://local.google.co.jp/maps?q=兵庫県姫路市新在家1丁目,,( 北西 ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0147003-0001194,仲介,https://www.homes.co.jp/tochi/b-1470030001194/,株式会社Sun　Climb,兵庫県姫路市飾磨区構４丁目48-202,1,画像あり
"
780万円",兵庫県姫路市香寺町中仁野,145平方メートル / 43.86坪,http://local.google.co.jp/maps?q=兵庫県姫路市香寺町中仁野,,一方 ( 東 5.9m 公道 間口12m ),市街化区域,雑種地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0124691-0007056,仲介,https://www.homes.co.jp/tochi/b-1246910007056/,株式会社福屋不動産販売　姫路北店,兵庫県姫路市西新在家１丁目6番30号,1,画像あり
"
600万円",兵庫県姫路市網干区浜田,97.62平方メートル (公簿) / 29.53坪,http://local.google.co.jp/maps?q=兵庫県姫路市網干区浜田,,二方 ( 北 6m 公道 間口9m ) ( 東 6m 公道 間口10.8m ),市街化区域,宅地,第二種中高層住居専用地域,平坦,所有権,不要,"古家あり 

","相談
（古家解体後に更地渡し）",0147003-0000882,仲介,https://www.homes.co.jp/tochi/b-1470030000882/,株式会社Sun　Climb,兵庫県姫路市飾磨区構４丁目48-202,1,画像あり
"
750万円",兵庫県姫路市網干区坂出,124.82平方メートル (公簿) / 37.75坪,http://local.google.co.jp/maps?q=兵庫県姫路市網干区坂出,,一方 ( 北 私道 ),市街化区域,宅地,第一種住居地域,平坦,所有権,不要,"古家あり 

",相談,0110073-0010371,仲介,https://www.homes.co.jp/tochi/b-1100730010371/,株式会社福屋不動産販売 姫路西店,兵庫県姫路市勝原区宮田１１６－１,1,画像あり
"
650万円",兵庫県尼崎市武庫町2丁目,56.24平方メートル (公簿) / 17.01坪,http://local.google.co.jp/maps?q=兵庫県尼崎市武庫町2丁目,,一方 ( 北 4.2m 私道 ),市街化区域,宅地,第一種中高層住居専用地域,平坦,所有権,不要,"古家あり 

",相談,0122204-0008816,仲介,https://www.homes.co.jp/tochi/b-1222040008816/,センチュリー２１株式会社アクロス　西宮北口駅前店,兵庫県西宮市甲風園１丁目６－８,1,画像あり
"
800万円",兵庫県姫路市船津町,362.02平方メートル (公簿) / 109.51坪,http://local.google.co.jp/maps?q=兵庫県姫路市船津町,,二方 ( 北 1.9m 公道 ) ( 東 3.4m 公道 ),市街化調整区域,宅地,無指定,高台,所有権,不要,"古家あり 

",相談,0124691-0007446,仲介,https://www.homes.co.jp/tochi/b-1246910007446/,株式会社福屋不動産販売　姫路北店,兵庫県姫路市西新在家１丁目6番30号,1,画像あり
"
680万円",兵庫県宝塚市安倉西2丁目,59.59平方メートル / 18.02坪,http://local.google.co.jp/maps?q=兵庫県宝塚市安倉西2丁目,,二方 ( 北 3.8m 公道 間口5.3m ) ( 南 4.6m 公道 間口5.3m ),市街化区域,宅地,第一種住居地域,-,所有権,不要,"古家あり 

",相談,0121036-0000438,専任媒介,https://www.homes.co.jp/tochi/b-1210360000438/,きぼう不動産株式会社,兵庫県西宮市室川町１－２１,1,画像あり
"
980万円",兵庫県神戸市垂水区名谷町,211.06平方メートル (公簿) / 63.84坪,http://local.google.co.jp/maps?q=兵庫県神戸市垂水区名谷町,,-,市街化区域,宅地,第一種中高層住居専用地域,-,所有権,不要,"古家あり 

",相談,0112552-0006314,仲介,https://www.homes.co.jp/tochi/b-1125520006314/,ヤマト住建株式会社　西神戸店,兵庫県神戸市西区北別府５丁目1-8,1,画像あり
"
800万円",兵庫県宝塚市花屋敷つつじガ丘,230.77平方メートル (公簿) / 69.8坪,http://local.google.co.jp/maps?q=兵庫県宝塚市花屋敷つつじガ丘,,角地 ( 東 4.5m 公道 ) ( 北 4m 公道 ),市街化区域,宅地,第一種低層住居専用地域,低地,所有権,不要,"古家あり 

 ",相談,0131448-0003345,仲介,https://www.homes.co.jp/tochi/b-1314480003345/,-,-,1,画像あり
