価格,所在地,土地面積/坪,地図のURL,その他,接道状況,都市計画,地目,用途地域,地勢,土地権利,国土方届出,現況,引渡し,LIFULL_HOME'S物件番号,取引態様,ページURL,会社名,会社住所,pattern,画像
198万円,秋田県大仙市大曲丸の内町, 90.34㎡（公簿）,http://local.google.co.jp/maps?q=秋田県大仙市大曲丸の内町,駐車場 空有 無料, 一方 ( 北 4m 公道 ), 非線引区域, 宅地, 第一種住居地域,, 所有権, 不要,空家, 相談, 3702179-0000600, 専属専任媒介,https://www.homes.co.jp/kodate/b-37021790000600/,株式会社クリエイト興産,東京都東久留米市本町１丁目4-47,2,画像あり
抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,抽出失敗,https://www.homes.co.jp/kodate/b-1207840000279/,抽出失敗,抽出失敗,抽出失敗,抽出失敗
399万円,秋田県南秋田郡八郎潟町字中田261-10, 217.48㎡（公簿）,http://local.google.co.jp/maps?q=秋田県南秋田郡八郎潟町字中田261-10,駐車場 空有 (2台) 無料, 角地 ( 南東 4m 公道 ) ( 北東 5m 公道 ), 非線引区域, 宅地, 無指定, 平坦, 所有権, 不要,空家, 即時, 0121993-0000557, 売主,https://www.homes.co.jp/kodate/b-1219930000557/,株式会社カチタス 秋田店,秋田県秋田市将軍野南２丁目3-34,2,画像あり
"
480万円",秋田県鹿角市花輪,340.33平方メートル (公簿),http://local.google.co.jp/maps?q=秋田県鹿角市花輪,,一方 ( 東 6m 公道 間口18m ),非線引区域,宅地,無指定,平坦,所有権,不要,"- 

",即時,3210579-0000062,一般媒介,https://www.homes.co.jp/kodate/b-32105790000062/?force_search=1,セキワ土地建物,秋田県鹿角市花輪字上中島54,1,画像あり
256万円,秋田県鹿角市花輪字用野目太田47-1, 595.53㎡,http://local.google.co.jp/maps?q=秋田県鹿角市花輪字用野目太田47-1,, 二方 ( 東 5m 公道 ) ( 西 5m 公道 ), 非線引区域, 宅地, 無指定,, 所有権, 不要,空家, 相談, 0115051-0000848, 専任媒介,https://www.homes.co.jp/kodate/b-1150510000848/,新井建物管理有限会社,東京都杉並区南荻窪４丁目３１－１０,2,画像あり
360万円,秋田県大館市大茂内字塚下58-19, 339.72㎡（公簿）,http://local.google.co.jp/maps?q=秋田県大館市大茂内字塚下58-19,駐車場 空有 無料, 一方 ( 6m 私道 位置指定 間口25m ),, 宅地, 無指定, 平坦, 所有権, 不要,空家, 即時, 3210578-0000013, 一般媒介,https://www.homes.co.jp/kodate/b-32105780000013/,城南不動産,秋田県大館市字部垂町23-2,2,画像あり
939万円,秋田県仙北郡美郷町土崎字上野乙1-186, 511.27㎡（公簿）,http://local.google.co.jp/maps?q=秋田県仙北郡美郷町土崎字上野乙1-186,駐車場 空有 (4台) 無料備考大曲駅より車で23分　羽後線バス「千畑小学校前」より徒歩3分(200m)  ● 家具付き 設置している家具・インテリアを付けて販売します。  土地154坪、建物52坪。広々敷地とおうちは大家族や多趣味の方にもおすすめです。駐車場も4台は止められるスペースを確保しました。敷地も約154坪ありますので冬場の雪捨て場にも困りません。, 一方 ( 北 9m 公道 ), 区域外, 宅地, 無指定, 平坦, 所有権, 不要,空家, 即時, 0121994-0000462, 売主,https://www.homes.co.jp/kodate/b-1219940000462/,株式会社カチタス 横手店,秋田県横手市婦気大堤字婦気前272-1　ベルウッド101号室,2,画像あり
250万円,秋田県湯沢市表町4丁目, 194.53㎡（公簿）,http://local.google.co.jp/maps?q=秋田県湯沢市表町4丁目,駐車場 空有 無料, 角地 ( 西 公道 ) ( 南 公道 ), 区域外, 宅地, 商業地域, 平坦, 所有権, 不要,空家, 相談, 3221254-0000066, 仲介,https://www.homes.co.jp/kodate/b-32212540000066/,有限会社ハウジングメイト,秋田県湯沢市元清水２丁目5-6,2,画像あり
500万円,秋田県大館市花岡町字根井下135," 1,031.22㎡（公簿）",http://local.google.co.jp/maps?q=秋田県大館市花岡町字根井下135,駐車場 空有 無料, 三方 ( 東 公道 ),, 宅地, 無指定, 平坦, 所有権, 不要,空家, 相談, 3210578-0000004, 一般媒介,https://www.homes.co.jp/kodate/b-32105780000004/,城南不動産,秋田県大館市字部垂町23-2,2,画像あり
340万円,秋田県潟上市昭和乱橋字下畑61-6, 233.88㎡（公簿）,http://local.google.co.jp/maps?q=秋田県潟上市昭和乱橋字下畑61-6,, 二方 ( 北西 3.5m 公道 ) ( 南東 4m 公道 ), 市街化区域, 宅地, 第一種住居地域, 平坦, 所有権, 不要,空家, 即時, 0120784-0000310, 専任媒介,https://www.homes.co.jp/kodate/b-1207840000310/,むつみホーム株式会社,秋田県秋田市下新城中野字琵琶沼２５８番地３,2,画像あり
